Identifier,isPresent_4wpi,log2.Ratio_4wpi,pValue_4wpi,fdr_4wpi,isPresent_8wpi,log2.Ratio_8wpi,pValue_8wpi,fdr_8wpi,isPresent_12wpi,log2.Ratio_12wpi,pValue_12wpi,fdr_12wpi,isPresent_14wpi,log2.Ratio_14wpi,pValue_14wpi,fdr_14wpi,isPresent_16wpi,log2.Ratio_16wpi,pValue_16wpi,fdr_16wpi,isPresent_18wpi,log2.Ratio_18wpi,pValue_18wpi,fdr_18wpi,isPresent_20wpi,log2.Ratio_20wpi,pValue_20wpi,fdr_20wpi,isPresent_term,log2.Ratio_term,pValue_term,fdr_term,CellType
0610007C21Rik,TRUE,0.1205,0.4224,0.9959,TRUE,0.1419,0.1932,0.4244,TRUE,0.02825,0.778,0.9319,TRUE,-0.03107,0.8139,0.9609,TRUE,0.154,0.2612,0.6535,TRUE,0.06523,0.6927,0.9825,TRUE,0.1828,0.2333,0.6314,TRUE,0.4897,0.003471,0.02131,_NE
0610007L01Rik,TRUE,0.04896,0.7403,0.9959,TRUE,-0.01189,0.9114,0.9617,TRUE,-0.02802,0.7686,0.9281,TRUE,0.02867,0.8244,0.9626,TRUE,0.07804,0.5668,0.8412,TRUE,-0.04548,0.7878,0.9896,TRUE,-0.09968,0.4985,0.8163,TRUE,0.08986,0.5841,0.785,_NE
0610007N19Rik,TRUE,0.3217,0.402,0.9959,TRUE,-0.03875,0.9021,0.9563,TRUE,-0.4828,0.1162,0.4837,TRUE,-0.7257,0.04455,0.5111,TRUE,-0.1382,0.6993,0.895,TRUE,0.8406,0.03976,0.4929,TRUE,0.1634,0.6914,0.9062,TRUE,1.064,0.006495,0.03512,_NE
0610007P08Rik,TRUE,-0.2735,0.1302,0.9959,TRUE,0.2222,0.1075,0.3046,TRUE,-0.129,0.305,0.6927,TRUE,-0.3732,0.05557,0.5381,TRUE,0.04704,0.7875,0.9304,TRUE,0.1049,0.677,0.9825,TRUE,-0.1628,0.462,0.7971,TRUE,-0.04801,0.8764,0.9467,_NE
0610007P14Rik,TRUE,-0.1157,0.46,0.9959,TRUE,0.1253,0.2941,0.5365,TRUE,0.09143,0.4061,0.7622,TRUE,0.1576,0.2664,0.742,TRUE,0.1868,0.1877,0.5884,TRUE,-0.09261,0.6148,0.9825,TRUE,0.05768,0.7367,0.9235,TRUE,-0.107,0.549,0.7608,_NE
0610007P22Rik,TRUE,0.2027,0.2945,0.9959,TRUE,-0.2179,0.1672,0.3912,TRUE,0.2566,0.0966,0.4498,TRUE,0.1129,0.5442,0.8732,TRUE,-0.05398,0.7611,0.9214,TRUE,-0.1564,0.5268,0.9765,TRUE,0.2625,0.1657,0.5536,TRUE,0.1342,0.5389,0.7528,_NE
0610009B22Rik,TRUE,0.05038,0.8203,0.9983,TRUE,0.09083,0.5732,0.7634,TRUE,0.0115,0.9475,0.9868,TRUE,0.1082,0.5915,0.8916,TRUE,0.3673,0.06089,0.3969,TRUE,0.1525,0.5205,0.9764,TRUE,-0.1177,0.5931,0.8587,TRUE,0.01869,0.9369,0.9735,_NE
0610009D07Rik,TRUE,-0.05436,0.7387,0.9959,TRUE,0.2118,0.07067,0.2409,TRUE,-0.04266,0.7205,0.9106,TRUE,0.1227,0.4189,0.8304,TRUE,0.4415,0.00435,0.1085,TRUE,0.1743,0.3529,0.9313,TRUE,-0.2803,0.1214,0.4894,TRUE,0.2479,0.1809,0.4009,_NE
0610009L18Rik,TRUE,0.05312,0.8808,0.9983,TRUE,-0.1614,0.5926,0.7754,TRUE,-0.01642,0.9573,0.9893,TRUE,-0.1897,0.6011,0.8953,TRUE,-0.003658,0.9918,0.9972,TRUE,-0.174,0.6937,0.9825,TRUE,0.1467,0.7157,0.9146,TRUE,0.3334,0.361,0.6063,_NE
0610009O20Rik,TRUE,0.11,0.483,0.9959,TRUE,-0.1781,0.1331,0.3449,TRUE,0.1191,0.2905,0.6793,TRUE,0.007119,0.9564,0.9926,TRUE,-0.1718,0.2153,0.6135,TRUE,0.01748,0.9231,0.9971,TRUE,0.1485,0.3586,0.7342,TRUE,-0.02134,0.9035,0.9593,_NE
